,RunId,iteration,Step,density,width,height,Umidade,TipoVegetacao,Fine,On Fire,PartiallyBurned,Burned Out,Saved index
155,155,6,20,200,100,100,0.2,0.0,0,12,0,9988,0.0
156,156,6,20,200,100,100,0.2,0.2,0,6,0,9994,0.0
157,157,6,20,200,100,100,0.2,0.6000000000000001,0,7,0,9993,0.0
158,158,6,20,200,100,100,0.2,0.4,8,29,0,9963,0.0
159,159,6,19,200,100,100,0.4,0.0,0,21,0,9979,0.0
160,160,6,20,200,100,100,0.2,0.8,1,12,0,9987,0.0
161,161,6,20,200,100,100,0.4,0.2,2,21,0,9977,0.0
162,162,6,23,200,100,100,0.4,0.4,2,9,1,9988,0.00010011012113324657
163,163,6,24,200,100,100,0.4,0.6000000000000001,1,22,8,9969,0.0008018442417560389
164,164,6,6,200,100,100,0.6000000000000001,0.8,9395,3,250,352,0.4152823920265781
165,165,6,4,200,100,100,0.8,0.4,9541,5,200,254,0.44052863436123346
166,166,6,1,200,100,100,0.8,0.6000000000000001,9761,3,173,63,0.7330508474576272
167,167,6,22,200,100,100,0.6000000000000001,0.0,0,5,0,9995,0.0
168,168,6,24,200,100,100,0.4,0.8,0,1,13,9986,0.0013001300130013002
169,169,6,4,200,100,100,0.8,0.8,9730,2,178,90,0.664179104477612
170,170,6,28,200,100,100,0.6000000000000001,0.2,0,1,48,9951,0.004800480048004801
171,171,6,30,200,100,100,0.6000000000000001,0.6000000000000001,8283,5,516,1196,0.3014018691588785
172,172,6,20,200,100,100,0.8,0.0,1,16,0,9983,0.0
173,173,7,20,200,100,100,0.0,0.0,0,14,0,9986,0.0
174,174,6,49,200,100,100,0.6000000000000001,0.4,42,3,490,9465,0.04922149673530889
175,175,6,35,200,100,100,0.8,0.2,127,6,447,9420,0.04530252356339313
176,176,7,20,200,100,100,0.0,0.2,0,1,0,9999,0.0
177,177,7,21,200,100,100,0.0,0.4,0,2,0,9998,0.0
178,178,7,21,200,100,100,0.0,0.6000000000000001,0,2,0,9998,0.0
179,179,7,20,200,100,100,0.0,0.8,0,30,0,9970,0.0
180,180,7,20,200,100,100,0.2,0.0,0,11,0,9989,0.0
181,181,7,21,200,100,100,0.2,0.2,0,1,0,9999,0.0
182,182,7,21,200,100,100,0.2,0.4,0,1,0,9999,0.0
183,183,7,20,200,100,100,0.2,0.8,0,14,0,9986,0.0
184,184,7,21,200,100,100,0.2,0.6000000000000001,0,13,0,9987,0.0
185,185,7,22,200,100,100,0.4,0.0,0,4,0,9996,0.0
186,186,7,22,200,100,100,0.4,0.2,0,3,0,9997,0.0
187,187,7,23,200,100,100,0.4,0.4,0,1,8,9991,0.0008000800080008001
188,188,7,23,200,100,100,0.4,0.6000000000000001,0,3,11,9986,0.001100330099029709
189,189,7,10,200,100,100,0.6000000000000001,0.6000000000000001,9324,2,287,387,0.4258160237388724
190,190,7,16,200,100,100,0.6000000000000001,0.8,8569,8,444,979,0.3120168657765285
191,191,7,21,200,100,100,0.6000000000000001,0.0,0,3,0,9997,0.0
192,192,7,7,200,100,100,0.8,0.4,9411,1,258,330,0.4387755102040816
193,193,7,2,200,100,100,0.8,0.6000000000000001,9722,3,185,90,0.6727272727272727
194,194,7,2,200,100,100,0.8,0.8,9728,1,190,81,0.7011070110701108
195,195,7,26,200,100,100,0.4,0.8,0,1,20,9979,0.002000200020002
196,196,7,20,200,100,100,0.8,0.0,0,19,0,9981,0.0
197,197,7,28,200,100,100,0.6000000000000001,0.2,0,3,63,9934,0.006301890567170151
198,198,7,46,200,100,100,0.6000000000000001,0.4,76,3,519,9402,0.05231327487148473
199,199,8,21,200,100,100,0.0,0.0,4,24,0,9972,0.0
200,200,8,20,200,100,100,0.0,0.2,0,4,0,9996,0.0
201,201,8,21,200,100,100,0.0,0.4,0,2,0,9998,0.0
202,202,8,20,200,100,100,0.0,0.6000000000000001,0,3,0,9997,0.0
203,203,7,39,200,100,100,0.8,0.2,69,6,365,9560,0.03677581863979849
204,204,8,20,200,100,100,0.0,0.8,2,26,0,9972,0.0
205,205,8,22,200,100,100,0.2,0.0,0,8,0,9992,0.0
206,206,8,19,200,100,100,0.2,0.2,0,14,0,9986,0.0
207,207,8,20,200,100,100,0.2,0.4,0,45,0,9955,0.0
208,208,8,21,200,100,100,0.2,0.6000000000000001,0,10,0,9990,0.0
209,209,8,21,200,100,100,0.2,0.8,0,3,0,9997,0.0
210,210,8,21,200,100,100,0.4,0.0,0,6,0,9994,0.0
211,211,8,22,200,100,100,0.4,0.2,1,24,3,9972,0.0003007518796992481
212,212,8,22,200,100,100,0.4,0.4,0,8,4,9988,0.00040032025620496394
213,213,8,7,200,100,100,0.6000000000000001,0.6000000000000001,9208,5,254,533,0.3227445997458704
214,214,8,24,200,100,100,0.4,0.6000000000000001,0,22,11,9967,0.001102425335738625
215,215,8,11,200,100,100,0.6000000000000001,0.8,9269,2,279,450,0.38271604938271603
